"breedgroup","breedname","licensecount","avgweight"
"Toy","Maltese","2654","7"
"Toy","Miniature Pinscher","533","9"
"Toy","Papillon","267","7.5"
"Toy","Pekingese","368","14"
"Toy","Pomeranian","1361","5"
"Toy","Pug","966","16"
"Toy","Shih Tzu","4500","12.5"
"Toy","Silky Terrier","205","10"
"Toy","Toy Fox Terrier","25","5.25"
"Toy","Toy Poodle","817","5"
"Toy","Yorkshire Terrier","4929","7"
"Unknown","Not Listed","10383","60"
"Working","Akita","75","100"
"Working","Alaskan Malamute","39","80"
"Working","Anatolian Shepherd Dog","45","115"
"Working","Bernese Mountain Dog","108","92.5"
"Working","Black Russian Terrier","4","105"
"Working","Boerboel","8","175"
"Working","Boxer","682","65"
"Working","Bullmastiff","57","115"
"Working","Cane Corso","160","99"
"Working","Chinook","3","70"
"Working","Doberman Pinscher","163","80"
"Working","Fila Brasileiro","2","160"
"Working","French Mastiff (Dogue de Bordeaux)","20","104.5"
"Working","German Pinscher","5","35"
"Working","Giant Schnauzer","24","70"
"Working","Great Dane","77","142.5"
"Working","Great Pyrenees","49","92.5"
"Working","Greater Swiss Mountain Dog","6","112.5"
"Working","Kuvasz","4","92.5"
"Working","Leonberger","4","130"
"Working","Mastiff","36","175"
"Working","Neapolitan Mastiff","13","130"
"Working","Newfoundland","41","125"
"Working","Old English Mastiff","18","170"
"Working","Portuguese Water Dog","102","47.5"
"Working","Rottweiler","392","107.5"
"Working","Samoyed","59","50"
"Working","Siberian Husky","750","47.5"
"Working","St. Bernard","24","150"
"Working","Standard Schnauzer","118","40"
"Working","Tibetan Mastiff","6","110"
